cut_id,parent_part,description,material,rough_length_mm,rough_width_mm,rough_thickness_mm,final_length_mm,final_width_mm,final_thickness_mm,qty,grain_orientation,workholding,hull_option,notes
CUT-103,BOM-008,Neck blank SAM-19-MID,Sapele 3-laminate,1100,50,50,1060_calc,42_calc,scaled,1,n/a,laminating jig + scaled fixture,both,Scaled neck arc length per master-equations.
CUT-104,BOM-008,Neck blank SAM-25-CONCERT,Sapele 3-laminate,1370,55,55,1310_calc,48_calc,scaled,1,n/a,laminating jig + scaled fixture,both,Scaled neck arc length per master-equations.
CUT-105,BOM-006,String-holder strip SAM-19-MID,Walnut OR hard maple,200,12,6,157,10,4,1,longitudinal,double-sided tape,both,Length scaled by scale_factor 1.31. 19 tie-through holes.
CUT-106,BOM-006,String-holder strip SAM-25-CONCERT,Walnut OR hard maple,250,12,6,194,10,4,1,longitudinal,double-sided tape,both,Length scaled by scale_factor 1.62. 25 tie-through holes.
# ----- Fixtures, jigs, templates -----
CUT-201,BOM-042,Soundboard pull-test fixture base,Plywood 12 mm,400,400,12,400,400,12,1,n/a,n/a,n/a,Used for R-S-04 validation. Re-usable.
CUT-202,BOM-043,Neck-deflection jig base,Aluminum 1/2 in flatbar,300,40,12,300,40,12,1,n/a,n/a,n/a,Mounts dial indicator. Re-usable.
CUT-203,BOM-044,String-holder strip positioning fixture,Cedar scrap + slotted Al bar,200,40,4,180,30,3,1,n/a,n/a,n/a,Holds strip at adjustable positions during prototype voicing. Re-usable across MULE / ROOT / AE builds.
CUT-204,n/a,Laminating jig form,MDF + plywood layers,900,400,50,810,300,50,1,n/a,n/a,n/a,One-time fixture. Holds the three sapele laminates to neck_curve_radius_mm during cure.
CUT-205,n/a,Soundboard inlay template,Plywood or acrylic,700,200,4,650,150,3,1,n/a,n/a,n/a,1:1 template for inlay band route + bow panel pocket + wordmark pocket positions.

# Hull option flag:
#   A_block  = CNC-from-block (single billet)
#   B_staves = stave-laminated (10 staves around a buck)
# Both options produce the same final geometry; choose based on stock availability and shop preference.
# Stave-laminated uses less wood total but adds 2-3 days of glue-up time and a buck fixture.
# CNC-from-block is wood-wasteful but single-setup; cleaner for the v4 capstone schedule.
#
# Final-dimension columns marked "scaled" or "_calc" derive from cad/SAM-000_master-equations.txt
# and the family-spec.csv row for the variant. Do not hard-code; pull from the design table.
