part_id,category,part_name,material_spec,qty_per_unit,unit,SAM-13-ROOT,SAM-19-MID,SAM-25-CONCERT,SAM-13-AE,SAM-13-MULE,make_buy,planning_cost_usd,notes
BOM-029,harness,Adjustable tether strap (SAM-19),1 in nylon webbing with cam buckle 600 mm,1,ea,0,1,0,0,0,buy,8-15,Belt-to-stern tether on SAM-19-MID.
BOM-030,stand,Stand uprights,Walnut quartersawn 8/4 CNC-curve-profiled,2,ea,2,2,2,2,2,make,30-60,CNC curve-profiled cradle uprights matching keel curvature.
BOM-031,stand,Stand base,Walnut 12/4 with kanawa-tsugi or mitsuke-aritsugi joinery,1,ea,1,1,1,1,1,make,25-50,Japanese joinery at straight intersections.
BOM-032,stand,Stand felt pads,Adhesive-back industrial felt 3 mm,1,kit,1,1,1,1,1,buy,3-5,Between uprights and keel.
BOM-033,fasteners,Hide glue (hot or fish),Liquid hide glue or hot hide pellets 250 g,1,kit,1,1,1,1,1,buy,12-25,For string-holder strip and reversible joints.
BOM-034,fasteners,Wood glue (Titebond III or equivalent),Yellow PVA glue 8 oz,1,kit,1,1,1,1,1,buy,8-12,For non-reversible joints.
BOM-035,fasteners,Two-part epoxy,30-min cure 8 oz,1,kit,1,1,1,1,1,buy,10-18,For brass-to-wood and high-stress glue lines.
BOM-036,finish,Oil + wax finish,Tried-and-true Original or Osmo Polyx-Oil 0.5 L,1,kit,1,1,1,1,1,buy,15-30,Hull + neck finish.
BOM-037,finish,Soundboard finish (separate),Hard shellac (1 lb cut) or thin oil 250 ml,1,kit,1,1,1,1,1,buy,10-20,Soundboard wants a thin finish that doesn't damp.
BOM-038,finish,Brass polish + PVD-friendly cleaner,Cape Cod cloth + IPA wipe-down,1,kit,1,1,1,1,1,buy,8-15,Pre-PVD prep for caps.
BOM-039,tooling,CNC inlay end mill 0.8-1.0 mm,Solid carbide 2-flute,2,ea,2,2,2,2,2,buy,12-30,Spare in case of breakage on multi-strip band.
BOM-040,tooling,CNC profile bits (hull profile),1/4 in 2-flute upcut + 1/8 in detail bit,1,kit,1,1,1,1,1,buy,40-80,Already in Maker Nexus shop inventory.
BOM-041,tooling,Hide glue brush + heating cup,Natural-bristle brush + small glue pot,1,kit,1,1,1,1,1,buy,15-30,For hot-hide glue option.
BOM-042,jigs,Soundboard pull-test fixture,Plywood + 5 kgf gauge,1,ea,1,1,1,1,1,make,15-30,Validates R-S-04 string-holder-strip glue strength on scrap.
BOM-043,jigs,Neck-deflection measurement jig,Dial indicator + magnetic base,1,ea,1,1,1,1,1,buy,40-80,For SAM-13-MULE 30-day hold (R-S-01).
BOM-044,jigs,String-holder strip positioning fixture,Cedar scrap + slotted aluminum bar,1,ea,1,1,1,1,1,make,negligible,Holds the strip at adjustable positions during prototype voicing.

# Cost flag for the whole BOM: planning-estimate. Live supplier prices not verified.
# Total per-variant planning estimate range:
# SAM-13-ROOT: ~530-1300 USD
# SAM-19-MID: ~620-1500 USD (adds belt + 6 extra tuners + 6 extra caps)
# SAM-25-CONCERT: ~750-1850 USD (adds sax harness + 12 extra tuners + 12 extra caps)
# SAM-13-AE: ~620-1450 USD (adds piezo + jack + wiring)
# SAM-13-MULE: ~470-1150 USD (test mule; no harness hardware, reduced string set OK)
